order_purchase_timestamp,total_sales,total_items,total_orders,day_of_week,month,quarter,is_weekend,is_holiday,total_sales_lag_1,total_sales_lag_7,total_sales_lag_14,total_sales_lag_30,total_sales_rolling_avg_7,total_sales_rolling_std_7,total_sales_rolling_avg_30,total_sales_rolling_std_30
2016-10-04,9571.16,67,58,1,10,4,0,0,441.98,0.0,0.0,72.89,1430.4485714285713,3593.4933852145814,338.2703333333333,1745.81136570874
2016-10-05,6856.56,52,39,2,10,4,0,0,9571.16,0.0,0.0,0.0,2409.957142857143,4044.7416705055234,566.8223333333334,2110.6826422579143
2016-10-06,6295.72,55,46,3,10,4,0,0,6856.56,0.0,0.0,0.0,3309.345714285714,4118.830174158909,776.6796666666667,2351.611576392671
2016-10-07,6728.25,50,43,4,10,4,0,0,6295.72,0.0,0.0,0.0,4270.524285714286,4001.221891630344,1000.9546666666666,2584.31084016841
2016-10-08,8306.86,43,38,5,10,4,1,0,6728.25,0.0,0.0,0.0,5457.2185714285715,3747.3453889761695,1277.85,2899.199799028976
2016-10-09,2614.2,28,22,6,10,4,1,0,8306.86,0.0,0.0,0.0,5830.675714285715,3203.664911315671,1364.9900000000002,2898.7545130327244
2016-10-10,3692.57,40,37,0,10,4,0,0,2614.2,441.98,0.0,0.0,6295.045714285714,2436.0073634936416,1488.0756666666668,2917.1341781945716
2016-10-11,0.0,0,0,1,10,4,0,0,3692.57,9571.16,0.0,0.0,4927.737142857143,2927.2495018174454,1488.0756666666668,2917.1341781945716
2016-10-12,0.0,0,0,2,10,4,0,1,0.0,6856.56,0.0,0.0,3948.2285714285713,3297.951746152091,1488.0756666666668,2917.1341781945716
2016-10-13,0.0,0,0,3,10,4,0,0,0.0,6295.72,0.0,0.0,3048.8399999999997,3407.6973786757153,1488.0756666666668,2917.1341781945716
2016-10-14,0.0,0,0,4,10,4,0,0,0.0,6728.25,0.0,0.0,2087.6614285714286,3134.8770901500475,1488.0756666666668,2917.1341781945716
2016-10-15,0.0,0,0,5,10,4,1,0,0.0,8306.86,0.0,134.97,900.9671428571429,1569.8684816114862,1483.5766666666668,2919.3961917555453
2016-10-16,0.0,0,0,6,10,4,1,0,0.0,2614.2,0.0,0.0,527.51,1395.660274099686,1483.5766666666668,2919.3961917555453
2016-10-17,0.0,0,0,0,10,4,0,0,0.0,3692.57,441.98,0.0,0.0,0.0,1483.5766666666668,2919.3961917555453
2016-10-18,0.0,0,0,1,10,4,0,0,0.0,0.0,9571.16,0.0,0.0,0.0,1483.5766666666668,2919.3961917555453
2016-10-19,0.0,0,0,2,10,4,0,0,0.0,0.0,6856.56,0.0,0.0,0.0,1483.5766666666668,2919.3961917555453
2016-10-20,0.0,0,0,3,10,4,0,0,0.0,0.0,6295.72,0.0,0.0,0.0,1483.5766666666668,2919.3961917555453
2016-10-21,0.0,0,0,4,10,4,0,0,0.0,0.0,6728.25,0.0,0.0,0.0,1483.5766666666668,2919.3961917555453
2016-10-22,0.0,0,0,5,10,4,1,0,0.0,0.0,8306.86,0.0,0.0,0.0,1483.5766666666668,2919.3961917555453
2016-10-23,0.0,0,0,6,10,4,1,0,0.0,0.0,2614.2,0.0,0.0,0.0,1483.5766666666668,2919.3961917555453
2016-10-24,0.0,0,0,0,10,4,0,0,0.0,0.0,3692.57,0.0,0.0,0.0,1483.5766666666668,2919.3961917555453
2016-10-25,0.0,0,0,1,10,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1483.5766666666668,2919.3961917555453
2016-10-26,0.0,0,0,2,10,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1483.5766666666668,2919.3961917555453
2016-10-27,0.0,0,0,3,10,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1483.5766666666668,2919.3961917555453
2016-10-28,0.0,0,0,4,10,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1483.5766666666668,2919.3961917555453
2016-10-29,0.0,0,0,5,10,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1483.5766666666668,2919.3961917555453
2016-10-30,0.0,0,0,6,10,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1483.5766666666668,2919.3961917555453
2016-10-31,0.0,0,0,0,10,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1483.5766666666668,2919.3961917555453
2016-11-01,0.0,0,0,1,11,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1483.5766666666668,2919.3961917555453
2016-11-02,0.0,0,0,2,11,4,0,1,0.0,0.0,0.0,441.98,0.0,0.0,1468.8440000000003,2925.941723878856
2016-11-03,0.0,0,0,3,11,4,0,0,0.0,0.0,0.0,9571.16,0.0,0.0,1149.8053333333335,2503.3034876156157
2016-11-04,0.0,0,0,4,11,4,0,0,0.0,0.0,0.0,6856.56,0.0,0.0,921.2533333333333,2266.070921068589
2016-11-05,0.0,0,0,5,11,4,1,0,0.0,0.0,0.0,6295.72,0.0,0.0,711.396,2030.456530137139
2016-11-06,0.0,0,0,6,11,4,1,0,0.0,0.0,0.0,6728.25,0.0,0.0,487.12100000000004,1685.1729865697707
2016-11-07,0.0,0,0,0,11,4,0,0,0.0,0.0,0.0,8306.86,0.0,0.0,210.22566666666668,812.4732338750189
2016-11-08,0.0,0,0,1,11,4,0,0,0.0,0.0,0.0,2614.2,0.0,0.0,123.08566666666667,674.1679613889488
2016-11-09,0.0,0,0,2,11,4,0,0,0.0,0.0,0.0,3692.57,0.0,0.0,0.0,0.0
2016-11-10,0.0,0,0,3,11,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-11,0.0,0,0,4,11,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-12,0.0,0,0,5,11,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-13,0.0,0,0,6,11,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-14,0.0,0,0,0,11,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
